,quote_number,gender,agecat,date_of_birth,credit_score,area,traffic_index,veh_age,veh_body,veh_value,age,has_claim,prob_noclaim,prob_claim
0,29323463,F,4.0,4/14/1968,750.0,C,124.5,2,HBACK,1.1,50,0,0.7060533317999431,0.29394666820005694
1,16732441,M,2.0,10/4/1984,567.0,F,116.0,3,STNWG,2.079,34,1,0.3613044862625945,0.6386955137374055
2,68744228,M,4.0,11/30/1962,378.0,D,111.4,3,HDTOP,2.354,56,1,0.15288208684213778,0.8471179131578622
3,30875047,F,3.0,5/17/1973,807.0,E,43.5,4,UTE,1.969,45,0,0.8444413528626498,0.1555586471373502
4,37049210,M,6.0,10/2/1945,844.0,C,111.0,1,HBACK,1.969,73,0,0.8530223575307926,0.1469776424692074
5,90859532,M,1.0,1/19/1995,743.0,C,133.5,1,HBACK,2.09,23,0,0.6465813059918113,0.35341869400818865
6,58572612,M,5.0,3/27/1953,647.0,F,156.0,3,HDTOP,2.915,65,1,0.4097364765704189,0.5902635234295811
7,32679788,M,4.0,9/20/1964,785.0,A,80.1,2,SEDAN,1.925,54,0,0.8119201670893545,0.18807983291064542
8,90845095,F,1.0,1/17/1999,601.0,B,105.2,2,HBACK,1.43,19,1,0.46859850283554183,0.5314014971644582
9,97453004,F,3.0,12/2/1979,672.0,C,145.5,2,STNWG,3.905,39,1,0.442731860180278,0.557268139819722
10,13843905,F,5.0,9/10/1956,654.0,C,133.5,4,SEDAN,0.847,62,0,0.503698870716413,0.49630112928358705
11,35005918,M,2.0,10/20/1986,619.0,C,147.0,3,HBACK,0.979,32,1,0.400639225693871,0.599360774306129
12,98385091,M,5.0,6/26/1956,840.0,E,22.5,4,SEDAN,0.803,62,0,0.9117722338842433,0.08822776611575663
13,99135056,M,5.0,2/27/1956,741.0,A,57.3,4,HBACK,0.451,62,0,0.7987605548801394,0.20123944511986055
14,30780507,F,3.0,9/9/1978,811.0,B,140.8,1,STNWG,3.9589,40,0,0.7014552736667881,0.2985447263332119
15,78395567,M,6.0,8/11/1948,751.0,C,136.5,4,HBACK,0.242,70,0,0.6780250556667785,0.3219749443332215
16,75159402,F,4.0,8/5/1969,328.0,A,86.8,4,HBACK,1.265,49,1,0.13855810689609915,0.8614418931039008
17,88324551,M,5.0,12/27/1959,813.0,A,62.7,1,SEDAN,2.915,59,0,0.8626861727399778,0.13731382726002217
18,84538742,F,5.0,3/20/1959,762.0,E,49.5,2,SEDAN,1.705,59,0,0.8395227445267395,0.16047725547326058
19,96341459,M,6.0,7/6/1941,841.0,D,155.0,4,SEDAN,0.484,77,0,0.7639196212654892,0.23608037873451085
20,35209135,M,4.0,2/13/1962,839.0,B,120.1,1,STNWG,3.531,56,0,0.7974739135871856,0.20252608641281444
21,38851104,M,1.0,1/18/1992,719.0,A,87.1,1,TRUCK,2.9139,26,0,0.692165921038827,0.307834078961173
22,97289087,M,1.0,1/2/1993,757.0,C,141.0,3,STNWG,2.728,25,0,0.5839410129305027,0.41605898706949723
23,58264138,F,4.0,6/29/1960,664.0,C,133.5,2,SEDAN,1.771,58,0,0.5437927985938809,0.45620720140611914
24,80238106,M,6.0,2/6/1931,759.0,A,61.9,4,HDTOP,1.045,87,0,0.8189137387729434,0.18108626122705665
25,54346585,M,4.0,7/28/1964,774.0,A,46.5,3,HBACK,1.342,54,0,0.8416648611142812,0.15833513888571887
26,53170392,F,6.0,3/15/1945,846.0,A,67.7,2,SEDAN,2.024,73,0,0.8882240705667521,0.11177592943324782
27,53124568,F,4.0,12/15/1961,740.0,A,64.5,4,STNWG,0.506,57,0,0.7809413992591832,0.21905860074081682
28,18898186,F,4.0,10/17/1963,770.0,A,82.4,2,STNWG,4.4,55,0,0.7419203313293528,0.2580796686706473
29,89196246,M,5.0,11/15/1958,796.0,F,144.0,3,BUS,0.0,60,0,0.7432135190080291,0.2567864809919708
30,41430497,M,3.0,10/12/1970,667.0,D,131.3,1,STNWG,3.333,48,0,0.5239368426616519,0.47606315733834814
31,18197837,M,3.0,8/27/1970,656.0,C,141.0,4,STNWG,1.804,48,1,0.44389640743998104,0.556103592560019
32,85253708,M,3.0,9/20/1972,580.0,F,76.0,2,SEDAN,1.826,46,0,0.5258008905706176,0.47419910942938237
33,77210696,M,3.0,2/7/1974,772.0,C,142.5,2,STNWG,4.4,44,0,0.6069518907780389,0.3930481092219611
34,47370641,F,4.0,2/2/1968,821.0,E,42.0,4,COUPE,0.495,50,0,0.8804440271911652,0.11955597280883479
35,56543451,F,4.0,1/11/1965,647.0,D,81.1,3,STNWG,2.937,53,0,0.5735044612622016,0.4264955387377985
36,39829405,F,3.0,6/6/1978,348.0,A,76.1,2,SEDAN,1.749,40,1,0.18698836332358215,0.8130116366764178
37,52918551,M,3.0,7/19/1974,703.0,A,51.1,4,SEDAN,0.517,44,0,0.7479023384644614,0.25209766153553853
38,57752513,M,5.0,1/29/1952,844.0,C,133.5,4,SEDAN,0.737,66,0,0.7888344740658063,0.21116552593419366
39,19047298,F,1.0,11/14/1990,347.0,C,117.0,3,HBACK,1.386,28,1,0.11928470053925944,0.8807152994607406
40,63320870,F,6.0,7/15/1942,830.0,D,97.6,1,STNWG,3.245,76,0,0.8402578300442357,0.15974216995576432
41,51895426,F,1.0,1/30/1994,731.0,C,141.0,3,HBACK,0.803,24,0,0.5950666245366534,0.4049333754633466
42,32394168,F,5.0,11/17/1950,845.0,B,135.9,1,HBACK,1.936,68,0,0.8181460161210476,0.18185398387895238
43,33583908,F,3.0,12/5/1978,668.0,C,120.0,2,HBACK,1.65,40,0,0.5640645497887086,0.43593545021129143
44,93233684,F,3.0,4/2/1979,631.0,C,147.0,1,HBACK,1.32,39,1,0.47351790277226036,0.5264820972277396
45,55780655,F,3.0,1/1/1971,331.0,D,94.5,3,HBACK,0.748,47,1,0.15183106364377186,0.8481689363562281
46,80053395,M,3.0,6/25/1979,788.0,C,133.5,2,HBACK,1.287,39,0,0.7245498852499881,0.2754501147500119
47,98173507,F,1.0,2/20/1991,653.0,A,55.6,4,HBACK,0.605,27,0,0.6491196961659742,0.3508803038340258
48,73469624,F,3.0,2/3/1977,678.0,A,71.4,2,STNWG,3.157,41,0,0.6508566422793286,0.3491433577206714
49,36596290,M,6.0,9/26/1938,849.0,A,89.3,3,SEDAN,1.276,80,0,0.8693705961371658,0.13062940386283423
51,32176678,F,2.0,7/30/1988,467.0,C,132.0,4,SEDAN,0.528,30,1,0.20711439009848343,0.7928856099015166
52,25970449,M,5.0,7/31/1958,728.0,A,83.1,2,STNWG,3.63,60,0,0.707456426618472,0.292543573381528
53,29099996,M,6.0,6/29/1945,302.0,E,43.5,3,SEDAN,1.639,73,1,0.19829405285834723,0.8017059471416528
54,65484723,M,6.0,11/5/1945,739.0,C,132.0,4,HDTOP,1.705,73,0,0.6345880828737624,0.3654119171262376
55,77761140,M,2.0,11/10/1981,673.0,E,45.0,2,STNWG,4.356,37,0,0.6647352336587178,0.33526476634128227
56,86570599,M,5.0,1/30/1952,799.0,C,75.0,2,PANVN,2.079,66,0,0.8384668106201016,0.1615331893798983
57,79360590,F,5.0,12/17/1958,765.0,B,133.4,4,HBACK,0.407,60,0,0.6898558575929746,0.31014414240702537
58,70267032,F,4.0,5/20/1968,622.0,D,137.9,4,STNWG,1.529,50,1,0.4059451986355668,0.5940548013644332
59,62650484,F,4.0,12/27/1964,554.0,B,132.8,4,HBACK,1.133,54,1,0.3273626215464931,0.6726373784535069
60,83592005,F,2.0,4/26/1981,770.0,A,81.0,3,SEDAN,1.419,37,0,0.7716356607137991,0.22836433928620087
61,59725469,F,3.0,11/15/1978,748.0,A,85.3,1,SEDAN,2.563,40,0,0.7561883027446937,0.24381169725530624
62,32697184,F,4.0,11/5/1968,586.0,A,83.9,2,HBACK,1.727,50,0,0.5246075826404267,0.47539241735957327
63,79078711,F,5.0,11/15/1951,732.0,E,54.0,3,SEDAN,1.089,67,0,0.8039804008238516,0.19601959917614845
64,54364519,F,1.0,12/26/1999,600.0,C,141.0,1,STNWG,7.9189,19,1,0.24508046276109186,0.7549195372389081
65,89214523,M,3.0,3/31/1975,777.0,B,120.1,3,SEDAN,1.496,43,0,0.7125003391625646,0.28749966083743533
66,99165243,M,2.0,4/23/1984,660.0,A,62.5,3,UTE,1.573,34,0,0.6519982995812841,0.34800170041871586
67,81682346,M,3.0,10/16/1970,738.0,A,83.9,1,STNWG,7.161,48,0,0.6413593309116512,0.35864066908834885
68,94611933,M,6.0,2/25/1934,494.0,C,136.5,3,STNWG,2.552,84,1,0.25668108531799727,0.7433189146820027
69,35550456,F,3.0,1/23/1975,791.0,C,148.5,4,STNWG,1.111,43,0,0.6594981475986875,0.3405018524013125
70,79523665,M,6.0,12/3/1948,736.0,E,85.5,2,UTE,3.927,70,0,0.7167188751092476,0.2832811248907524
